1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,country
16.8,17.2,17.2,15.1,16.1,18.8,13.8,12.9,12.3,12.0,12.2,13.7,15.0,17.5,21.1,23.0,24.0,27.0,27.5,19.7,18.3,24.5,28.5,32.4,36.6,41.5,46.8,51.0,61.8,62.5,69.6,79.3,87.9,95.1,101.7,99.3,99.9,104.3,107.6,108.1,99.3,106.2,115.0,118.7,122.8,127.1,131.8,137.6,143.6,Ecuador
23.5,25.8,30.5,37.3,41.9,48.8,54.1,77.4,92.5,115.4,96.1,48.4,44.2,49.5,54.6,63.2,71.1,79.8,89.2,95.0,104.8,102.3,90.3,85.2,82.9,94.1,112.9,137.1,170.8,198.3,230.0,247.7,294.5,303.2,321.6,350.1,351.4,246.8,263.2,317.9,382.5,423.3,475.2,398.4,357.8,408.9,461.1,522.5,591.1,Egypt
3.9,3.4,3.4,3.3,2.4,2.3,2.3,2.4,2.8,3.2,4.8,5.3,5.8,6.7,7.7,8.9,9.6,10.2,10.9,11.3,11.8,12.3,12.7,13.2,13.7,14.7,16.0,17.0,18.0,17.6,18.4,20.3,21.4,22.0,22.6,23.4,24.2,25.0,26.0,26.9,24.9,29.5,32.5,35.3,37.2,38.8,40.5,42.4,44.2,El Salvador
0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.5,0.4,0.7,1.2,1.7,2.1,3.8,6.0,8.2,10.1,13.1,19.8,15.1,16.3,21.4,22.4,21.9,21.8,13.2,11.2,12.2,13.1,11.4,9.9,12.3,11.8,10.0,10.3,10.4,10.4,10.6,10.9,Equatorial Guinea
0.8,0.8,0.7,0.7,0.6,0.5,0.6,0.8,1.0,1.0,1.2,1.3,1.4,1.5,1.6,1.9,1.8,2.0,1.8,1.8,1.7,1.5,1.4,2.2,2.8,3.2,3.3,3.5,3.3,3.6,4.4,4.8,4.9,4.6,4.4,4.1,3.8,4.4,4.7,4.5,4.0,4.7,4.8,4.6,4.9,5.2,5.4,5.6,5.8,Eswatini
7.4,7.6,8.0,8.9,8.4,9.8,10.2,10.9,11.3,11.9,12.6,13.9,14.7,9.1,8.1,7.9,8.8,8.6,7.8,7.5,8.2,8.1,7.8,8.6,10.1,12.4,15.3,19.3,26.2,28.7,26.9,30.5,42.2,46.5,54.2,63.1,72.1,76.8,80.2,92.6,96.6,99.3,120.4,155.8,192.0,223.5,248.9,272.1,298.0,Ethiopia
1.3,1.3,1.3,1.2,1.3,1.2,1.4,1.3,1.2,1.3,1.4,1.5,1.7,1.8,2.0,2.1,2.3,2.3,1.8,2.1,1.8,1.8,2.0,2.5,3.0,3.3,3.4,3.7,3.8,3.1,3.4,4.1,4.3,4.5,4.9,4.7,4.9,5.4,5.6,5.4,4.4,4.3,5.0,5.5,6.0,6.3,6.7,7.1,7.5,Fiji
53.7,52.6,53.1,51.1,53.0,56.2,73.7,91.8,109.3,119.1,141.7,128.2,113.1,89.3,103.7,134.3,132.2,127.1,134.2,135.4,126.1,129.5,140.3,171.6,197.4,205.0,217.1,256.4,285.7,253.2,249.6,275.6,258.5,271.4,274.9,234.6,240.7,255.6,275.8,268.5,271.7,297.0,283.1,305.7,316.3,327.6,339.9,351.1,362.8,Finland
702.2,619.0,588.0,562.5,532.3,557.6,772.8,935.1,1020.9,1026.2,1272.4,1273.6,1404.4,1324.2,1396.7,1602.1,1606.0,1454.6,1505.2,1494.6,1366.2,1377.7,1500.3,1844.1,2118.7,2198.2,2320.7,2660.9,2930.0,2698.0,2647.3,2864.7,2685.4,2811.9,2856.7,2439.4,2472.3,2594.2,2792.2,2729.2,2645.3,2958.4,2780.1,3049.0,3183.5,3316.8,3438.8,3537.3,3634.7,France
4.6,4.1,3.9,3.7,3.5,3.7,4.9,3.7,4.1,4.5,6.3,5.8,6.0,5.8,4.5,5.3,6.1,5.7,4.8,5.0,5.4,5.0,5.3,6.5,7.8,9.5,10.2,12.5,15.6,12.2,14.4,18.2,17.2,17.6,18.2,14.4,14.0,14.9,16.8,16.8,15.3,20.2,21.1,19.3,19.9,20.4,21.1,21.7,22.5,Gabon
